Date,state,tot_cases,new_case,tot_death,new_death,submission_date,case fatality rate,State or Region Code,Population,death rate,Total Cases per Population,New Cases per Population,7 day average new cases,Adjusted Case Rate,Risk Level
2020-01-24,ID,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,ID,1787065.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,IN,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,IN,6732219.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,AR,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,AR,3017825.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,MD,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,MD,6045680.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,OR,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,OR,4217737.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,MN,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,MN,5639632.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,MO,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,MO,6137428.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NY,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NY,19453561.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,CO,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,CO,5758736.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,WV,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,WV,1792147.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,MP,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,MP,55194.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,SD,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,SD,884659.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,RI,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,RI,1059361.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NH,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NH,1359711.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,DC,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,DC,705749.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,KS,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,KS,2913314.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,ME,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,ME,1344212.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,OK,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,OK,3956971.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,HI,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,HI,1415872.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,AK,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,AK,731545.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,GU,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,GU,165718.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,VT,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,VT,623989.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,VI,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,VI,104914.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,LA,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,LA,4648794.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,DE,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,DE,973764.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,MT,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,MT,1068778.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,WI,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,WI,5822434.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NJ,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NJ,8882190.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NE,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NE,1934408.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,AS,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,AS,55641.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,SC,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,SC,5148714.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,CT,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,CT,3565287.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,KY,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,KY,4467673.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,NM,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,NM,2096829.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,IA,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,IA,3155070.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,ND,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,ND,762062.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,WA,1.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,WA,7614893.0,0.0,1.3132160885254723e-07,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,TN,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,TN,6833174.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
2020-01-24,WY,0.0,0.0,0.0,0.0,2020-01-24T00:00:00.000,0.0,WY,578759.0,0.0,0.0,0.0,0.0,0.0,Minimal Tier 4
